iter	Passed	Remaining
0	10	1123
1	15	831
2	20	744
3	26	713
4	32	680
5	38	671
6	44	654
7	50	641
8	56	630
9	61	619
10	67	611
11	74	608
12	81	604
13	87	600
14	93	590
15	98	579
16	103	568
17	109	560
18	115	552
19	120	544
20	126	536
21	132	528
22	137	520
23	143	512
24	148	505
25	154	498
26	159	489
27	164	483
28	170	475
29	175	468
30	181	462
31	186	454
32	192	448
33	197	441
34	202	434
35	208	428
36	213	421
37	218	414
38	224	408
39	229	401
40	234	395
41	240	389
42	246	383
43	251	377
44	257	371
45	262	365
46	267	358
47	273	353
48	279	347
49	284	341
50	289	335
51	295	329
52	300	323
53	305	317
54	311	311
55	316	305
56	322	299
57	328	294
58	333	288
59	339	282
60	345	277
61	350	271
62	356	266
63	362	260
64	367	254
65	372	248
66	377	242
67	383	236
68	389	231
69	395	225
70	400	220
71	406	214
72	411	208
73	416	202
74	422	197
75	427	191
76	433	185
77	439	180
78	444	174
79	450	168
80	454	162
81	459	156
82	465	151
83	471	145
84	476	140
85	481	134
86	487	128
87	492	123
88	498	117
89	503	111
90	509	106
91	514	100
92	519	95
93	525	89
94	530	83
95	535	78
96	541	72
97	547	66
98	552	61
99	557	55
100	562	50
101	567	44
102	573	38
103	578	33
104	583	27
105	589	22
106	595	16
107	600	11
108	605	5
109	610	0
